Date,Core_CPI,Headline_CPI,kofbarometer,unemployment_rate,oilprices,gdp_index_ch,gdp_index_eu,infl_e_current_year,infl_e_next_year,Saron_Rate,CH_2int,fin_spread,EU_fin_spread,Wage_change,PPI,real_turnover,retail_turnover,Exchange_Rate_CHF,variable_mortgages,Vol_loans,M1_change,M2_change,M3_change,Manufacturing_EU,Business_Confidence_EU
2006-07-01,97.7717,98.1448,103.747702678998,3.083997215091609,91.17672,142470.065724586,2733043.2,1.275,1.28333333333333,1.345125,2.1288095238095237,1.4782083333333333,0.9940879047619102,1.2,110.4085,71.3713165200143,77.5,99.3332,3.03,690473.0,-1.28667191,-2.26685871,1.35866379,118.1,4.8
2006-08-01,97.8512,98.3128,105.6161133623,3.1181751756022567,90.20366,142470.065724586,2733043.2,1.275,1.28333333333333,1.370228,2.115521739130435,1.2932937391304349,0.7416833043478301,1.2,110.861,71.08000108243657,78.5,98.8904,3.03,688344.0,-0.69402481,-2.198229,2.13471406,116.6,4.2
2006-09-01,97.8142,98.1023,103.602690212369,3.0878229171205995,77.1663,142470.065724586,2733043.2,1.30625,1.25,1.682963,2.129952380952381,0.7879893809523808,0.5044482857142896,1.2,110.9112,71.04782925439451,76.8,98.0738,3.03,761320.0,-2.06135928,-3.28583283,1.90028122,118.4,5.9
2006-10-01,98.5858,98.4346,103.555425849814,3.1103464211190914,72.84794,144382.108165866,2761899.5,1.30625,1.25,1.627171,2.1525000000000003,0.8630108181818181,0.3792864090909105,1.2,110.8149,75.26063733306623,77.1,97.1643,3.03,763265.0,-2.27012908,-3.4255623,2.63653453,117.8,6.5
2006-11-01,98.7096,98.392,106.067306169793,3.1450057613552405,72.6061,144382.108165866,2761899.5,1.30625,1.25,1.768215,2.149909090909091,0.5808304545454543,0.2068629090909111,1.2,110.7768,75.28652208765735,78.2,97.1551,3.05,767765.0,-3.80333604,-4.62553728,1.39421657,118.0,7.2
2006-12-01,98.7345,98.405,106.60907275982,3.257673952897754,75.5825,144382.108165866,2761899.5,1.15714285714286,1.05,1.897995,2.3048571428571427,0.5363859523809522,0.21840309523809998,1.2,110.7484,75.30582834605286,78.5,97.277,3.03,765299.0,-4.11056111,-4.99691122,2.93102682,118.0,7.8
2007-01-01,97.8836,97.7176,105.173944392778,3.320430667638209,66.73087,145197.065747082,2783703.5,1.15714285714286,1.05,1.905279,2.441869565217391,0.6597210000000004,0.3509094782608715,1.6,110.581,76.14327958690914,79.7,95.3705,3.03,768851.0,-3.40694334,-4.54681311,3.74767405,119.1,6.6
2007-02-01,98.0966,97.9109,104.078295618922,3.2023152844650147,71.3304,145197.065747082,2783703.5,1.15714285714286,1.05,1.835111,2.43355,0.7618390000000002,0.2993186000000003,1.6,110.9061,75.92008013986607,79.0,94.968,3.04,771668.0,-2.98461795,-4.49759948,3.70929931,119.2,7.0
2007-03-01,98.0933,97.9872,105.066466252988,2.9874679122409287,75.56702,145197.065747082,2783703.5,0.773684210526316,1.09444444444444,1.979335,2.392318181818182,0.653437727272727,0.13181686363635992,1.6,111.2649,75.67525787557442,80.4,95.7782,3.04,778846.0,-4.64586832,-5.80299721,2.6646927,119.5,7.0
2007-04-01,99.0373,99.0963,102.252711353287,2.8586101604565304,81.8172,147510.156932836,2802582.7,0.773684210526316,1.09444444444444,2.066636,2.4597142857142855,0.7020306666666665,0.27058171428570876,1.5,112.2932,78.63343461580932,80.6,94.5689,3.06,781401.0,-4.33382889,-5.69431914,2.408148,119.3,6.8
