"CubeId";"snbmonagg"
"PublishingDate";"2025-08-21 09:00"

"Date";"D0";"D1";"Value"
"2004-03";"VV";"GM3";"4.83761026"
"2004-04";"VV";"GM1";"8.9637926"
"2004-04";"VV";"GM2";"6.98173761"
"2004-04";"VV";"GM3";"3.62937151"
"2004-05";"VV";"GM1";"9.13645536"
"2004-05";"VV";"GM2";"6.67134861"
"2004-05";"VV";"GM3";"4.08166962"
"2004-06";"VV";"GM1";"6.57389864"
"2004-06";"VV";"GM2";"4.98185965"
"2004-06";"VV";"GM3";"3.72300265"
"2004-07";"VV";"GM1";"3.68683939"
"2004-07";"VV";"GM2";"3.22181967"
"2004-07";"VV";"GM3";"3.04968886"
"2004-08";"VV";"GM1";"1.12044318"
"2004-08";"VV";"GM2";"1.64094315"
"2004-08";"VV";"GM3";"2.93531908"
"2004-09";"VV";"GM1";"-1.58324406"
"2004-09";"VV";"GM2";"-0.17841863"
"2004-09";"VV";"GM3";"1.55864966"
"2004-10";"VV";"GM1";"-4.53440324"
"2004-10";"VV";"GM2";"-1.97533416"
"2004-10";"VV";"GM3";"1.31574985"
"2004-11";"VV";"GM1";"-4.93394264"
"2004-11";"VV";"GM2";"-2.32674898"
"2004-11";"VV";"GM3";"2.65263837"
"2004-12";"VV";"GM1";"-4.89635897"
"2004-12";"VV";"GM2";"-2.06394887"
"2004-12";"VV";"GM3";"2.52355382"
"2005-01";"VV";"GM1";"-4.41615659"
"2005-01";"VV";"GM2";"-2.22400465"
"2005-01";"VV";"GM3";"2.98571888"
"2005-02";"VV";"GM1";"-5.19754814"
"2005-02";"VV";"GM2";"-2.93438087"
"2005-02";"VV";"GM3";"2.38722865"
"2005-03";"VV";"GM1";"-5.09602334"
"2005-03";"VV";"GM2";"-2.73668581"
"2005-03";"VV";"GM3";"2.7200858"
"2005-04";"VV";"GM1";"-7.18507542"
"2005-04";"VV";"GM2";"-4.0986075"
"2005-04";"VV";"GM3";"2.7881151"
"2005-05";"VV";"GM1";"-7.08902133"
"2005-05";"VV";"GM2";"-4.00226059"
"2005-05";"VV";"GM3";"3.14118083"
"2005-06";"VV";"GM1";"-2.72141125"
"2005-06";"VV";"GM2";"-1.4218571"
"2005-06";"VV";"GM3";"4.86305169"
"2005-07";"VV";"GM1";"-0.31633989"
"2005-07";"VV";"GM2";"-0.05065613"
"2005-07";"VV";"GM3";"6.89605262"
"2005-08";"VV";"GM1";"-0.1090732"
"2005-08";"VV";"GM2";"0.06290329"
"2005-08";"VV";"GM3";"5.49871719"
"2005-09";"VV";"GM1";"2.96308005"
"2005-09";"VV";"GM2";"1.83601136"
"2005-09";"VV";"GM3";"6.02312898"
"2005-10";"VV";"GM1";"3.68904279"
"2005-10";"VV";"GM2";"2.21259929"
"2005-10";"VV";"GM3";"5.76171192"
"2005-11";"VV";"GM1";"4.00596098"
"2005-11";"VV";"GM2";"2.44542519"
"2005-11";"VV";"GM3";"5.82396199"
"2005-12";"VV";"GM1";"5.06845894"
"2005-12";"VV";"GM2";"2.68157693"
"2005-12";"VV";"GM3";"4.86886021"
"2006-01";"VV";"GM1";"1.65406444"
"2006-01";"VV";"GM2";"0.83790241"
"2006-01";"VV";"GM3";"3.14062741"
"2006-02";"VV";"GM1";"1.06473445"
"2006-02";"VV";"GM2";"0.32256392"
"2006-02";"VV";"GM3";"3.43894065"
"2006-03";"VV";"GM1";"1.13478321"
"2006-03";"VV";"GM2";"0.05195987"
"2006-03";"VV";"GM3";"4.06242322"
"2006-04";"VV";"GM1";"3.00810948"
"2006-04";"VV";"GM2";"0.83003776"
"2006-04";"VV";"GM3";"4.262045"
"2006-05";"VV";"GM1";"1.67767661"
"2006-05";"VV";"GM2";"-0.19785515"
"2006-05";"VV";"GM3";"3.18658677"
"2006-06";"VV";"GM1";"-1.21212764"
"2006-06";"VV";"GM2";"-1.98565648"
"2006-06";"VV";"GM3";"1.43187298"
"2006-07";"VV";"GM1";"-1.28667191"
"2006-07";"VV";"GM2";"-2.26685871"
"2006-07";"VV";"GM3";"1.35866379"
"2006-08";"VV";"GM1";"-0.69402481"
"2006-08";"VV";"GM2";"-2.198229"
"2006-08";"VV";"GM3";"2.13471406"
"2006-09";"VV";"GM1";"-2.06135928"
"2006-09";"VV";"GM2";"-3.28583283"
"2006-09";"VV";"GM3";"1.90028122"
"2006-10";"VV";"GM1";"-2.27012908"
"2006-10";"VV";"GM2";"-3.4255623"
"2006-10";"VV";"GM3";"2.63653453"
"2006-11";"VV";"GM1";"-3.80333604"
"2006-11";"VV";"GM2";"-4.62553728"
"2006-11";"VV";"GM3";"1.39421657"
"2006-12";"VV";"GM1";"-4.11056111"
"2006-12";"VV";"GM2";"-4.99691122"
